"tenantid","connectionno"
"od.bhubaneswar","WS/BMC/2199044"
"od.bhubaneswar","WS/BMC/2199045"
"od.bhubaneswar","WS/BMC/2199046"
"od.bhubaneswar","WS/BMC/2199047"
"od.puri","WS/PRI/2199105"
"od.puri","WS/PRI/2199108"
"od.puri","WS/PRI/2199112"
"od.puri","WS/PRI/2199113"
"od.puri","WS/PRI/2199130"
"od.puri","WS/PRI/2199134"
"od.puri","WS/PRI/2199137"
"od.puri","WS/PRI/2199141"
"od.puri","WS/PRI/2199350"
"od.puri","WS/PRI/2199348"
"od.puri","WS/PRI/2199352"
"od.puri","WS/PRI/2199354"
"od.puri","WS/PRI/2199510"
"od.puri","WS/PRI/2199513"
"od.puri","WS/PRI/2199516"
"od.puri","WS/PRI/2199519"
"od.puri","WS/PRI/2199959"
"od.puri","WS/PRI/2199956"
"od.puri","WS/PRI/2200165"
"od.puri","WS/PRI/2200160"
"od.puri","WS/PRI/2200162"
"od.puri","WS/PRI/2200163"
"od.puri","WS/PRI/2200166"
"od.puri","WS/PRI/2200170"
"od.puri","WS/PRI/2200463"
"od.puri","WS/PRI/2200466"
"od.puri","WS/PRI/2200467"
"od.puri","WS/PRI/2200470"
"od.puri","WS/PRI/2200555"
"od.puri","WS/PRI/2200557"
"od.puri","WS/PRI/2200562"
"od.puri","WS/PRI/2200563"
"od.puri","WS/PRI/2200534"
"od.puri","WS/PRI/2200538"
"od.puri","WS/PRI/2200540"
"od.puri","WS/PRI/2200543"
"od.puri","WS/PRI/2200546"
"od.puri","WS/PRI/2200547"
"od.puri","WS/PRI/2200552"
"od.puri","WS/PRI/2200556"
"od.puri","WS/PRI/2200603"
"od.puri","WS/PRI/2200590"
"od.puri","WS/PRI/2200592"
"od.puri","WS/PRI/2200595"
"od.puri","WS/PRI/2200733"
"od.puri","WS/PRI/2200737"
"od.puri","WS/PRI/2200739"
"od.puri","WS/PRI/2200743"
"od.puri","WS/PRI/2201034"
"od.puri","WS/PRI/2201037"
"od.puri","WS/PRI/2201041"
"od.puri","WS/PRI/2201044"
"od.sambalpur","WS/SMB/2206695"
"od.puri","WS/PRI/2201162"
"od.sambalpur","WS/SMB/2206696"
"od.sambalpur","WS/SMB/2206697"
"od.sambalpur","WS/SMB/2206700"
"od.puri","WS/PRI/2201163"
"od.puri","WS/PRI/2201164"
"od.puri","WS/PRI/2201168"
"od.sambalpur","WS/SMB/2206698"
"od.puri","WS/PRI/2201161"
"od.puri","WS/PRI/2201165"
"od.puri","WS/PRI/2201167"
"od.puri","WS/PRI/2201172"
"od.puri","WS/PRI/2201176"
"od.sambalpur","WS/SMB/2206699"
"od.puri","WS/PRI/2201195"
"od.puri","WS/PRI/2201262"
"od.puri","WS/PRI/2201265"
"od.puri","WS/PRI/2201268"
"od.puri","WS/PRI/2201271"
"od.puri","WS/PRI/2201297"
"od.puri","WS/PRI/2201301"
"od.puri","WS/PRI/2201264"
"od.puri","WS/PRI/2201267"
"od.puri","WS/PRI/2201308"
"od.puri","WS/PRI/2201309"
"od.puri","WS/PRI/2201313"
"od.puri","WS/PRI/2201316"
"od.puri","WS/PRI/2201672"
"od.puri","WS/PRI/2201676"
"od.puri","WS/PRI/2201678"
"od.puri","WS/PRI/2201682"
"od.puri","WS/PRI/2201720"
"od.puri","WS/PRI/2201724"
"od.puri","WS/PRI/2201726"
"od.puri","WS/PRI/2201730"
"od.sambalpur","WS/SMB/2206701"
"od.sambalpur","WS/SMB/2206702"
"od.sambalpur","WS/SMB/2206703"
"od.sambalpur","WS/SMB/2206704"
"od.sambalpur","WS/SMB/2206705"
"od.sambalpur","WS/SMB/2206706"
"od.sambalpur","WS/SMB/2206707"
"od.sambalpur","WS/SMB/2206708"
"od.sambalpur","WS/SMB/2206709"
"od.sambalpur","WS/SMB/2206710"
"od.sambalpur","WS/SMB/2206711"
"od.sambalpur","WS/SMB/2206712"
"od.sambalpur","WS/SMB/2206713"
"od.sambalpur","WS/SMB/2206715"
"od.sambalpur","WS/SMB/2206714"
"od.sambalpur","WS/SMB/2206718"
"od.sambalpur","WS/SMB/2206716"
"od.sambalpur","WS/SMB/2206717"
