"tenantid","connectionno"
"Puri","WS/PRI/2209333"
"Puri","WS/PRI/2209328"
"Puri","WS/PRI/2209342"
"Puri","WS/PRI/2209343"
"Puri","WS/PRI/2209344"
"Puri","WS/PRI/2209349"
"Puri","WS/PRI/2209346"
"Puri","WS/PRI/2209350"
"Puri","WS/PRI/2209348"
"Bhubaneswar","WS/BMC/2199032"
"Puri","WS/PRI/2209347"
"Puri","WS/PRI/2209345"
"Puri","WS/PRI/2209352"
"Puri","WS/PRI/2209351"
"Puri","WS/PRI/2209353"
"Puri","WS/PRI/2209354"
"Bhubaneswar","WS/BMC/2199034"
"Puri","WS/PRI/2209355"
"Puri","WS/PRI/2209356"
"Puri","WS/PRI/2209357"
"Puri","WS/PRI/2209358"
"Puri","WS/PRI/2209359"
"Puri","WS/PRI/2209360"
"Puri","WS/PRI/2209361"
"Puri","WS/PRI/2209362"
"Puri","WS/PRI/2209363"
"Puri","WS/PRI/2209364"
"Puri","WS/PRI/2209365"
"Puri","WS/PRI/2209366"
"Bhubaneswar","WS/BMC/2199044"
"Puri","WS/PRI/2209367"
"Bhubaneswar","WS/BMC/2199045"
"Nilgiri","WS/NLG/2209369"
"Bhubaneswar","WS/BMC/2199046"
"Bhubaneswar","WS/BMC/2199047"
"Khariarroad","WS/KRR/2209370"
"Puri","WS/PRI/2209371"
"Puri","WS/PRI/2209373"
"Balasore","WS/BLS/2209372"
"Puri","WS/PRI/2209374"
"Nilgiri","WS/NLG/2209375"
"Puri","WS/PRI/2209380"
"Puri","WS/PRI/2209376"
"Nilgiri","WS/NLG/2209377"
"Nilgiri","WS/NLG/2209379"
"Balasore","WS/BLS/2209378"
"Nilgiri","WS/NLG/2209381"
"Nilgiri","WS/NLG/2209383"
"Nilgiri","WS/NLG/2209385"
"Nilgiri","WS/NLG/2209384"
"Puri","WS/PRI/2209382"
"Nilgiri","WS/NLG/2209386"
"Nilgiri","WS/NLG/2209390"
"Nilgiri","WS/NLG/2209388"
"Nilgiri","WS/NLG/2209387"
"Nilgiri","WS/NLG/2209415"
"Puri","WS/PRI/2209392"
"Puri","WS/PRI/2209394"
"Joda","WS/JOD/2209393"
"Puri","WS/PRI/2209396"
"Puri","WS/PRI/2209401"
"Puri","WS/PRI/2209395"
"Paradeep","WS/PDP/2209598"
"Puri","WS/PRI/2209501"
"Dhenkanal","WS/DKN/2209400"
"Bhubaneswar","WS/BMC/2209413"
"Joda","WS/JOD/2209398"
"Balasore","WS/BLS/2209399"
"Puri","WS/PRI/2209410"
"Puri","WS/PRI/2209406"
"Bhubaneswar","WS/BMC/2209405"
"Puri","WS/PRI/2209407"
"Balasore","WS/BLS/2209409"
"Puri","WS/PRI/2209412"
"Berhampur","WS/BAM/2209416"
"Paradeep","WS/PDP/2209656"
"Barpali","WS/BPL/2209429"
"Paradeep","WS/PDP/2209603"
"Nilgiri","WS/NLG/2209426"
"Puri","WS/PRI/2209432"
"Puri","WS/PRI/2209430"
"Nilgiri","WS/NLG/2209431"
"Puri","WS/PRI/2209425"
"Dhenkanal","WS/DKN/2209433"
"Bhubaneswar","WS/BMC/2209423"
"Berhampur","WS/BAM/2209446"
"Puri","WS/PRI/2209436"
"Bhubaneswar","WS/BMC/2209439"
"Nilgiri","WS/NLG/2209435"
"Puri","WS/PRI/2209437"
"Puri","WS/PRI/2209443"
"Nilgiri","WS/NLG/2209440"
"Puri","WS/PRI/2209444"
"Puri","WS/PRI/2209442"
"Puri","WS/PRI/2209449"
"Bhubaneswar","WS/BMC/2209452"
"Nilgiri","WS/NLG/2209448"
"Puri","WS/PRI/2209450"
"Dhenkanal","WS/DKN/2209467"
"Paradeep","WS/PDP/2209682"
"Puri","WS/PRI/2209456"
"Puri","WS/PRI/2209458"
"Puri","WS/PRI/2209459"
"Puri","WS/PRI/2200436"
"Puri","WS/PRI/2200447"
"Puri","WS/PRI/2200454"
"Puri","WS/PRI/2200464"
"Puri","WS/PRI/2200468"
"Puri","WS/PRI/2200475"
"Puri","WS/PRI/2200439"
"Puri","WS/PRI/2200449"
"Puri","WS/PRI/2200461"
"Puri","WS/PRI/2200465"
"Puri","WS/PRI/2200432"
"Puri","WS/PRI/2200440"
"Puri","WS/PRI/2200446"
"Puri","WS/PRI/2200458"
"Puri","WS/PRI/2200467"
"Puri","WS/PRI/2200478"
"Nilgiri","WS/NLG/2209461"
"Nilgiri","WS/NLG/2209464"
"Bhubaneswar","WS/BMC/2209469"
"Puri","WS/PRI/2209465"
"Puri","WS/PRI/2209471"
"Puri","WS/PRI/2209463"
"Puri","WS/PRI/2209468"
"Bhubaneswar","WS/BMC/2209493"
"Puri","WS/PRI/2209477"
"Puri","WS/PRI/2209479"
"Puri","WS/PRI/2209478"
"Puri","WS/PRI/2209494"
"Balasore","WS/BLS/2209629"
"Puri","WS/PRI/2209486"
"Puri","WS/PRI/2209487"
"Nilgiri","WS/NLG/2209480"
"Nilgiri","WS/NLG/2209490"
"Paradeep","WS/PDP/2209694"
"Nilgiri","WS/NLG/2209492"
"Puri","WS/PRI/2209498"
"Nilgiri","WS/NLG/2209497"
"Nilgiri","WS/NLG/2209500"
"Puri","WS/PRI/2209505"
"Puri","WS/PRI/2209508"
"Puri","WS/PRI/2209512"
"Puri","WS/PRI/2209517"
"Puri","WS/PRI/2209519"
"Puri","WS/PRI/2209515"
"Puri","WS/PRI/2209523"
"Puri","WS/PRI/2209521"
"Puri","WS/PRI/2209524"
"Puri","WS/PRI/2209526"
"Phulbani","WS/PLB/2205018"
"Phulbani","WS/PLB/2205276"
